질문ID,질문,사용자증상,연령대,의사진단,진단근거,해결책
25,'머리가 멍해지고 집중력이 떨어짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,머리가 멍해지고 집중력이 떨어짐,20대,불안장애의 주요 증상에 해당됨,긴장과 신체적 반응이 불안장애와 관련이 있습니다.,가벼운 신체 활동으로 스트레스를 관리해 보세요.
26,'불면증과 잦은 악몽'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,불면증과 잦은 악몽,50대 이상,불안장애 초기 증상 가능성 있음,사회적 상황에 대한 불안은 사회불안장애의 특징입니다.,필요시 전문가 상담과 진단을 받는 것이 좋습니다.
27,'머리가 멍해지고 집중력이 떨어짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,머리가 멍해지고 집중력이 떨어짐,40대,불안장애 초기 증상 가능성 있음,불안장애의 주요 진단 기준 중 하나입니다.,호흡 연습과 명상으로 긴장을 완화해 보세요.
28,'머리가 멍해지고 집중력이 떨어짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,머리가 멍해지고 집중력이 떨어짐,30대,불안장애 초기 증상 가능성 있음,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,신뢰할 수 있는 사람과 감정을 나누고 상담을 고려해 보세요.
29,'항상 최악의 상황을 상상함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,항상 최악의 상황을 상상함,40대,불안장애의 주요 증상에 해당됨,사회적 상황에 대한 불안은 사회불안장애의 특징입니다.,신뢰할 수 있는 사람과 감정을 나누고 상담을 고려해 보세요.
30,'이유 없이 자주 불안함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 자주 불안함,40대,중등도 불안장애 증상일 수 있음,불안장애 환자들에게 흔히 나타나는 증상입니다.,가벼운 신체 활동으로 스트레스를 관리해 보세요.
31,'불면증과 잦은 악몽'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,불면증과 잦은 악몽,40대,불안장애 초기 증상 가능성 있음,긴장과 신체적 반응이 불안장애와 관련이 있습니다.,가벼운 신체 활동으로 스트레스를 관리해 보세요.
32,'몸이 떨리고 땀이 많이 남'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,몸이 떨리고 땀이 많이 남,10대,경미한 불안장애로 의심됨,사회적 상황에 대한 불안은 사회불안장애의 특징입니다.,가벼운 신체 활동으로 스트레스를 관리해 보세요.
33,'불면증과 잦은 악몽'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,불면증과 잦은 악몽,20대,중등도 불안장애 증상일 수 있음,불안장애 환자들에게 흔히 나타나는 증상입니다.,필요시 전문가 상담과 진단을 받는 것이 좋습니다.
34,'갑작스러운 공포감과 호흡 곤란 경험'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,갑작스러운 공포감과 호흡 곤란 경험,40대,불안장애 초기 증상 가능성 있음,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,필요시 전문가 상담과 진단을 받는 것이 좋습니다.
35,'사소한 문제에도 지나치게 걱정함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 문제에도 지나치게 걱정함,50대 이상,사회불안장애의 가능성이 있음,긴장과 신체적 반응이 불안장애와 관련이 있습니다.,필요시 전문가 상담과 진단을 받는 것이 좋습니다.
36,'긴장감이 지속되어 근육이 경직됨'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,긴장감이 지속되어 근육이 경직됨,20대,불안장애의 주요 증상에 해당됨,긴장과 신체적 반응이 불안장애와 관련이 있습니다.,필요시 전문가 상담과 진단을 받는 것이 좋습니다.
37,'사람들 앞에서 말할 때 극도로 불안함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사람들 앞에서 말할 때 극도로 불안함,40대,불안장애 초기 증상 가능성 있음,긴장과 신체적 반응이 불안장애와 관련이 있습니다.,일정한 수면 습관을 유지하여 불면을 줄이세요.
38,'사소한 일에도 과도하게 긴장함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 일에도 과도하게 긴장함,50대 이상,불안장애의 주요 증상에 해당됨,사회적 상황에 대한 불안은 사회불안장애의 특징입니다.,신뢰할 수 있는 사람과 감정을 나누고 상담을 고려해 보세요.
39,'사소한 일에도 과도하게 긴장함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 일에도 과도하게 긴장함,10대,중등도 불안장애 증상일 수 있음,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,호흡 연습과 명상으로 긴장을 완화해 보세요.
40,'갑작스러운 공포감과 호흡 곤란 경험'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,갑작스러운 공포감과 호흡 곤란 경험,50대 이상,불안장애의 주요 증상에 해당됨,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,가벼운 신체 활동으로 스트레스를 관리해 보세요.
41,'사소한 일에도 과도하게 긴장함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 일에도 과도하게 긴장함,30대,경미한 불안장애로 의심됨,불안장애 환자들에게 흔히 나타나는 증상입니다.,일정한 수면 습관을 유지하여 불면을 줄이세요.
42,'항상 최악의 상황을 상상함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,항상 최악의 상황을 상상함,20대,불안장애 초기 증상 가능성 있음,긴장과 신체적 반응이 불안장애와 관련이 있습니다.,호흡 연습과 명상으로 긴장을 완화해 보세요.
43,'몸이 떨리고 땀이 많이 남'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,몸이 떨리고 땀이 많이 남,40대,중등도 불안장애 증상일 수 있음,긴장과 신체적 반응이 불안장애와 관련이 있습니다.,호흡 연습과 명상으로 긴장을 완화해 보세요.
44,'불면증과 잦은 악몽'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,불면증과 잦은 악몽,30대,불안장애의 주요 증상에 해당됨,긴장과 신체적 반응이 불안장애와 관련이 있습니다.,신뢰할 수 있는 사람과 감정을 나누고 상담을 고려해 보세요.
45,'이유 없이 자주 불안함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 자주 불안함,30대,중등도 불안장애 증상일 수 있음,불안장애의 주요 진단 기준 중 하나입니다.,일정한 수면 습관을 유지하여 불면을 줄이세요.
46,'사소한 문제에도 지나치게 걱정함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 문제에도 지나치게 걱정함,10대,불안장애의 주요 증상에 해당됨,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,가벼운 신체 활동으로 스트레스를 관리해 보세요.
47,'몸이 떨리고 땀이 많이 남'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,몸이 떨리고 땀이 많이 남,40대,불안장애의 주요 증상에 해당됨,불안장애의 주요 진단 기준 중 하나입니다.,일정한 수면 습관을 유지하여 불면을 줄이세요.
48,'몸이 떨리고 땀이 많이 남'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,몸이 떨리고 땀이 많이 남,50대 이상,불안장애 초기 증상 가능성 있음,사회적 상황에 대한 불안은 사회불안장애의 특징입니다.,신뢰할 수 있는 사람과 감정을 나누고 상담을 고려해 보세요.
49,'사소한 일에도 과도하게 긴장함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 일에도 과도하게 긴장함,30대,불안장애의 주요 증상에 해당됨,사회적 상황에 대한 불안은 사회불안장애의 특징입니다.,필요시 전문가 상담과 진단을 받는 것이 좋습니다.
50,'이유 없이 자주 불안함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 자주 불안함,50대 이상,불안장애 초기 증상 가능성 있음,불안장애 환자들에게 흔히 나타나는 증상입니다.,신뢰할 수 있는 사람과 감정을 나누고 상담을 고려해 보세요.
51,'이유 없이 자주 불안함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 자주 불안함,10대,불안장애 초기 증상 가능성 있음,불안장애 환자들에게 흔히 나타나는 증상입니다.,가벼운 신체 활동으로 스트레스를 관리해 보세요.
52,'불면증과 잦은 악몽'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,불면증과 잦은 악몽,30대,불안장애 초기 증상 가능성 있음,사회적 상황에 대한 불안은 사회불안장애의 특징입니다.,일정한 수면 습관을 유지하여 불면을 줄이세요.
53,'사소한 문제에도 지나치게 걱정함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 문제에도 지나치게 걱정함,50대 이상,불안장애의 주요 증상에 해당됨,긴장과 신체적 반응이 불안장애와 관련이 있습니다.,호흡 연습과 명상으로 긴장을 완화해 보세요.
54,'긴장감이 지속되어 근육이 경직됨'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,긴장감이 지속되어 근육이 경직됨,40대,사회불안장애의 가능성이 있음,긴장과 신체적 반응이 불안장애와 관련이 있습니다.,신뢰할 수 있는 사람과 감정을 나누고 상담을 고려해 보세요.
55,'몸이 떨리고 땀이 많이 남'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,몸이 떨리고 땀이 많이 남,20대,중등도 불안장애 증상일 수 있음,긴장과 신체적 반응이 불안장애와 관련이 있습니다.,가벼운 신체 활동으로 스트레스를 관리해 보세요.
56,'사소한 일에도 과도하게 긴장함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 일에도 과도하게 긴장함,40대,중등도 불안장애 증상일 수 있음,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,가벼운 신체 활동으로 스트레스를 관리해 보세요.
57,'긴장감이 지속되어 근육이 경직됨'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,긴장감이 지속되어 근육이 경직됨,30대,불안장애 초기 증상 가능성 있음,긴장과 신체적 반응이 불안장애와 관련이 있습니다.,호흡 연습과 명상으로 긴장을 완화해 보세요.
58,'긴장감이 지속되어 근육이 경직됨'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,긴장감이 지속되어 근육이 경직됨,30대,불안장애 초기 증상 가능성 있음,불안장애의 주요 진단 기준 중 하나입니다.,신뢰할 수 있는 사람과 감정을 나누고 상담을 고려해 보세요.
59,'사소한 문제에도 지나치게 걱정함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 문제에도 지나치게 걱정함,10대,중등도 불안장애 증상일 수 있음,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,일정한 수면 습관을 유지하여 불면을 줄이세요.
60,'사소한 일에도 과도하게 긴장함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 일에도 과도하게 긴장함,40대,경미한 불안장애로 의심됨,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,일정한 수면 습관을 유지하여 불면을 줄이세요.
61,'머리가 멍해지고 집중력이 떨어짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,머리가 멍해지고 집중력이 떨어짐,20대,경미한 불안장애로 의심됨,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,신뢰할 수 있는 사람과 감정을 나누고 상담을 고려해 보세요.
62,'머리가 멍해지고 집중력이 떨어짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,머리가 멍해지고 집중력이 떨어짐,20대,불안장애의 주요 증상에 해당됨,사회적 상황에 대한 불안은 사회불안장애의 특징입니다.,가벼운 신체 활동으로 스트레스를 관리해 보세요.
63,'사소한 일에도 과도하게 긴장함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 일에도 과도하게 긴장함,20대,중등도 불안장애 증상일 수 있음,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,필요시 전문가 상담과 진단을 받는 것이 좋습니다.
64,'불면증과 잦은 악몽'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,불면증과 잦은 악몽,40대,불안장애 초기 증상 가능성 있음,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,필요시 전문가 상담과 진단을 받는 것이 좋습니다.
65,'항상 최악의 상황을 상상함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,항상 최악의 상황을 상상함,40대,불안장애 초기 증상 가능성 있음,불안장애의 주요 진단 기준 중 하나입니다.,신뢰할 수 있는 사람과 감정을 나누고 상담을 고려해 보세요.
66,'몸이 떨리고 땀이 많이 남'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,몸이 떨리고 땀이 많이 남,10대,중등도 불안장애 증상일 수 있음,불안장애 환자들에게 흔히 나타나는 증상입니다.,신뢰할 수 있는 사람과 감정을 나누고 상담을 고려해 보세요.
67,'갑작스러운 공포감과 호흡 곤란 경험'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,갑작스러운 공포감과 호흡 곤란 경험,40대,사회불안장애의 가능성이 있음,긴장과 신체적 반응이 불안장애와 관련이 있습니다.,일정한 수면 습관을 유지하여 불면을 줄이세요.
68,'항상 최악의 상황을 상상함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,항상 최악의 상황을 상상함,10대,경미한 불안장애로 의심됨,불안장애의 주요 진단 기준 중 하나입니다.,신뢰할 수 있는 사람과 감정을 나누고 상담을 고려해 보세요.
69,'사소한 문제에도 지나치게 걱정함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 문제에도 지나치게 걱정함,20대,중등도 불안장애 증상일 수 있음,사회적 상황에 대한 불안은 사회불안장애의 특징입니다.,가벼운 신체 활동으로 스트레스를 관리해 보세요.
70,'갑작스러운 공포감과 호흡 곤란 경험'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,갑작스러운 공포감과 호흡 곤란 경험,20대,사회불안장애의 가능성이 있음,불안장애의 주요 진단 기준 중 하나입니다.,호흡 연습과 명상으로 긴장을 완화해 보세요.
71,'사소한 문제에도 지나치게 걱정함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 문제에도 지나치게 걱정함,40대,중등도 불안장애 증상일 수 있음,사회적 상황에 대한 불안은 사회불안장애의 특징입니다.,필요시 전문가 상담과 진단을 받는 것이 좋습니다.
72,'몸이 떨리고 땀이 많이 남'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,몸이 떨리고 땀이 많이 남,20대,경미한 불안장애로 의심됨,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,가벼운 신체 활동으로 스트레스를 관리해 보세요.
73,'긴장감이 지속되어 근육이 경직됨'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,긴장감이 지속되어 근육이 경직됨,40대,중등도 불안장애 증상일 수 있음,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,호흡 연습과 명상으로 긴장을 완화해 보세요.
74,'이유 없이 자주 불안함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 자주 불안함,10대,불안장애 초기 증상 가능성 있음,불안장애의 주요 진단 기준 중 하나입니다.,필요시 전문가 상담과 진단을 받는 것이 좋습니다.
75,'불면증과 잦은 악몽'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,불면증과 잦은 악몽,20대,사회불안장애의 가능성이 있음,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,호흡 연습과 명상으로 긴장을 완화해 보세요.
76,'이유 없이 자주 불안함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 자주 불안함,10대,경미한 불안장애로 의심됨,불안장애의 주요 진단 기준 중 하나입니다.,필요시 전문가 상담과 진단을 받는 것이 좋습니다.
77,'사람들 앞에서 말할 때 극도로 불안함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사람들 앞에서 말할 때 극도로 불안함,10대,경미한 불안장애로 의심됨,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,호흡 연습과 명상으로 긴장을 완화해 보세요.
78,'사소한 일에도 과도하게 긴장함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 일에도 과도하게 긴장함,20대,불안장애의 주요 증상에 해당됨,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,호흡 연습과 명상으로 긴장을 완화해 보세요.
79,'갑작스러운 공포감과 호흡 곤란 경험'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,갑작스러운 공포감과 호흡 곤란 경험,30대,중등도 불안장애 증상일 수 있음,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,일정한 수면 습관을 유지하여 불면을 줄이세요.
80,'머리가 멍해지고 집중력이 떨어짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,머리가 멍해지고 집중력이 떨어짐,30대,불안장애의 주요 증상에 해당됨,사회적 상황에 대한 불안은 사회불안장애의 특징입니다.,일정한 수면 습관을 유지하여 불면을 줄이세요.
81,'사소한 문제에도 지나치게 걱정함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 문제에도 지나치게 걱정함,10대,중등도 불안장애 증상일 수 있음,불안장애의 주요 진단 기준 중 하나입니다.,일정한 수면 습관을 유지하여 불면을 줄이세요.
82,'긴장감이 지속되어 근육이 경직됨'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,긴장감이 지속되어 근육이 경직됨,30대,불안장애의 주요 증상에 해당됨,긴장과 신체적 반응이 불안장애와 관련이 있습니다.,신뢰할 수 있는 사람과 감정을 나누고 상담을 고려해 보세요.
83,'머리가 멍해지고 집중력이 떨어짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,머리가 멍해지고 집중력이 떨어짐,20대,사회불안장애의 가능성이 있음,불안장애 환자들에게 흔히 나타나는 증상입니다.,신뢰할 수 있는 사람과 감정을 나누고 상담을 고려해 보세요.
84,'항상 최악의 상황을 상상함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,항상 최악의 상황을 상상함,30대,불안장애 초기 증상 가능성 있음,불안장애의 주요 진단 기준 중 하나입니다.,필요시 전문가 상담과 진단을 받는 것이 좋습니다.
85,'갑작스러운 공포감과 호흡 곤란 경험'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,갑작스러운 공포감과 호흡 곤란 경험,20대,사회불안장애의 가능성이 있음,사회적 상황에 대한 불안은 사회불안장애의 특징입니다.,신뢰할 수 있는 사람과 감정을 나누고 상담을 고려해 보세요.
86,'사소한 문제에도 지나치게 걱정함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 문제에도 지나치게 걱정함,10대,중등도 불안장애 증상일 수 있음,사회적 상황에 대한 불안은 사회불안장애의 특징입니다.,일정한 수면 습관을 유지하여 불면을 줄이세요.
87,'사소한 일에도 과도하게 긴장함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 일에도 과도하게 긴장함,40대,불안장애 초기 증상 가능성 있음,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,호흡 연습과 명상으로 긴장을 완화해 보세요.
88,'사소한 일에도 과도하게 긴장함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 일에도 과도하게 긴장함,10대,불안장애의 주요 증상에 해당됨,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,가벼운 신체 활동으로 스트레스를 관리해 보세요.
